concept,source_workbook,source_sheet,source_entity,source_column,source_definition_if_known,type,units,coding,missing_percent,n_records,notes
age_at_diagnosis,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Age at Diagnosis in Days,"CDE: Patient's age in days at diagnosis (min 1, max 15000).",numeric,days,,0.0,89,Same unit as GDC age_at_diagnosis; still requires concordance.
age_at_diagnosis,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Age at Diagnosis in Days,"CDE: Patient's age in days at diagnosis (min 1, max 15000).",numeric,days,,0.0,1069,Same unit as GDC age_at_diagnosis; still requires concordance.
age_at_diagnosis,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Age at Diagnosis in Days,"CDE: Patient's age in days at diagnosis (min 1, max 15000).",numeric,days,,4.08,466,Same unit as GDC age_at_diagnosis; still requires concordance.
age_at_diagnosis,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Age at Diagnosis in Days,"CDE: Patient's age in days at diagnosis (min 1, max 15000).",numeric,days,,0.0,449,Same unit as GDC age_at_diagnosis; still requires concordance.
age_at_diagnosis,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Age at Diagnosis in Days,"CDE: Patient's age in days at diagnosis (min 1, max 15000).",numeric,days,,2.07,627,Same unit as GDC age_at_diagnosis; still requires concordance.
sex,,,demographic,demographic.sex_at_birth,A textual description of a person's sex at birth.,keyword,,male; female; unknown,1.42,2189,demographic.gender is not in the current GDC mapping.
sex,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Gender,"CDE: Text designations that identify gender, based upon self-report.",categorical,,Female; Male; Unknown,0.0,89,"CDE definition is gender, not sex at birth. Not declared equivalent to demographic.sex_at_birth without discordance review."
sex,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Gender,"CDE: Text designations that identify gender, based upon self-report.",categorical,,Female; Male; Unknown,0.0,1069,"CDE definition is gender, not sex at birth. Not declared equivalent to demographic.sex_at_birth without discordance review."
sex,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Gender,"CDE: Text designations that identify gender, based upon self-report.",categorical,,Female; Male; Unknown,4.08,466,"CDE definition is gender, not sex at birth. Not declared equivalent to demographic.sex_at_birth without discordance review."
sex,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Gender,"CDE: Text designations that identify gender, based upon self-report.",categorical,,Female; Male; Unknown,0.0,449,"CDE definition is gender, not sex at birth. Not declared equivalent to demographic.sex_at_birth without discordance review."
sex,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Gender,"CDE: Text designations that identify gender, based upon self-report.",categorical,,Female; Male; Unknown,2.07,627,"CDE definition is gender, not sex at birth. Not declared equivalent to demographic.sex_at_birth without discordance review."
race,,,demographic,demographic.race,OMB/Census-style race grouping.,keyword,,,11.24,2189,Substantial Unknown/not reported codes in Stage 1.
race,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Race,,categorical,,,14.61,89,Same concept name as GDC; coding may differ.
race,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Race,,categorical,,,10.1,1069,Same concept name as GDC; coding may differ.
race,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Race,,categorical,,,11.37,466,Same concept name as GDC; coding may differ.
race,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Race,,categorical,,,10.02,449,Same concept name as GDC; coding may differ.
race,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Race,,categorical,,,6.7,627,Same concept name as GDC; coding may differ.
ethnicity,,,demographic,demographic.ethnicity,Hispanic or Latino self-described grouping.,keyword,,,5.07,2189,
ethnicity,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Ethnicity,,categorical,,,6.74,89,
ethnicity,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Ethnicity,,categorical,,,3.18,1069,
ethnicity,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Ethnicity,,categorical,,,7.51,466,
ethnicity,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Ethnicity,,categorical,,,2.9,449,
ethnicity,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Ethnicity,,categorical,,,5.26,627,
wbc_at_diagnosis,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,WBC at Diagnosis,CDE: absolute peripheral WBC (x10^3/mcL).,numeric,x10^3/mcL,,2.25,89,Not populated on the GDC Cases API diagnosis entity.
wbc_at_diagnosis,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,WBC at Diagnosis,CDE: absolute peripheral WBC (x10^3/mcL).,numeric,x10^3/mcL,,0.09,1069,Not populated on the GDC Cases API diagnosis entity.
wbc_at_diagnosis,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,WBC at Diagnosis,CDE: absolute peripheral WBC (x10^3/mcL).,numeric,x10^3/mcL,,4.08,466,Not populated on the GDC Cases API diagnosis entity.
wbc_at_diagnosis,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,WBC at Diagnosis,CDE: absolute peripheral WBC (x10^3/mcL).,numeric,x10^3/mcL,,0.0,449,Not populated on the GDC Cases API diagnosis entity.
wbc_at_diagnosis,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,WBC at Diagnosis,CDE: absolute peripheral WBC (x10^3/mcL).,numeric,x10^3/mcL,,2.07,627,Not populated on the GDC Cases API diagnosis entity.
risk_group,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Risk group,CDE: cytogenetics- and biomarker-defined AML risk (High / Low / Standard).,categorical,,High Risk; Low Risk; Standard Risk,84.27,89,GDC eln_risk_classification and calgb_risk_group were empty.
risk_group,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Risk group,CDE: cytogenetics- and biomarker-defined AML risk (High / Low / Standard).,categorical,,High Risk; Low Risk; Standard Risk,0.84,1069,GDC eln_risk_classification and calgb_risk_group were empty.
risk_group,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Risk group,CDE: cytogenetics- and biomarker-defined AML risk (High / Low / Standard).,categorical,,High Risk; Low Risk; Standard Risk,8.58,466,GDC eln_risk_classification and calgb_risk_group were empty.
risk_group,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Risk group,CDE: cytogenetics- and biomarker-defined AML risk (High / Low / Standard).,categorical,,High Risk; Low Risk; Standard Risk,2.67,449,GDC eln_risk_classification and calgb_risk_group were empty.
risk_group,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Risk group,CDE: cytogenetics- and biomarker-defined AML risk (High / Low / Standard).,categorical,,High Risk; Low Risk; Standard Risk,3.99,627,GDC eln_risk_classification and calgb_risk_group were empty.
flt3_itd,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,FLT3/ITD positive?,CDE: FLT3 internal tandem duplication indicator.,categorical,,Yes; No; Unknown,79.78,89,Not in populated Cases API fields.
flt3_itd,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,FLT3/ITD positive?,CDE: FLT3 internal tandem duplication indicator.,categorical,,Yes; No; Unknown,0.0,1069,Not in populated Cases API fields.
flt3_itd,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,FLT3/ITD positive?,CDE: FLT3 internal tandem duplication indicator.,categorical,,Yes; No; Unknown,4.51,466,Not in populated Cases API fields.
flt3_itd,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,FLT3/ITD positive?,CDE: FLT3 internal tandem duplication indicator.,categorical,,Yes; No; Unknown,0.22,449,Not in populated Cases API fields.
flt3_itd,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,FLT3/ITD positive?,CDE: FLT3 internal tandem duplication indicator.,categorical,,Yes; No; Unknown,2.23,627,Not in populated Cases API fields.
npm,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,NPM mutation,,categorical,,,79.78,89,Not in populated Cases API fields.
npm,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,NPM mutation,,categorical,,,0.0,1069,Not in populated Cases API fields.
npm,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,NPM mutation,,categorical,,,7.3,466,Not in populated Cases API fields.
npm,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,NPM mutation,,categorical,,,0.89,449,Not in populated Cases API fields.
npm,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,NPM mutation,,categorical,,,2.39,627,Not in populated Cases API fields.
cebpa,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,CEBPA mutation,,categorical,,,79.78,89,Not in populated Cases API fields.
cebpa,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,CEBPA mutation,,categorical,,,0.0,1069,Not in populated Cases API fields.
cebpa,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,CEBPA mutation,,categorical,,,6.44,466,Not in populated Cases API fields.
cebpa,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,CEBPA mutation,,categorical,,,1.11,449,Not in populated Cases API fields.
cebpa,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,CEBPA mutation,,categorical,,,2.55,627,Not in populated Cases API fields.
fab,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,FAB Category,CDE: French-American-British morphology code.,categorical,,M0–M7 and related labels,19.1,89,Completeness is file-dependent. GDC fab_morphology_code was empty.
fab,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,FAB Category,CDE: French-American-British morphology code.,categorical,,M0–M7 and related labels,99.35,1069,Completeness is file-dependent. GDC fab_morphology_code was empty.
fab,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,FAB Category,CDE: French-American-British morphology code.,categorical,,M0–M7 and related labels,11.59,466,Completeness is file-dependent. GDC fab_morphology_code was empty.
fab,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,FAB Category,CDE: French-American-British morphology code.,categorical,,M0–M7 and related labels,14.92,449,Completeness is file-dependent. GDC fab_morphology_code was empty.
fab,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,FAB Category,CDE: French-American-British morphology code.,categorical,,M0–M7 and related labels,17.22,627,Completeness is file-dependent. GDC fab_morphology_code was empty.
cns_disease,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,CNS disease,,categorical,,,61.8,89,Not in populated Cases API fields.
cns_disease,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,CNS disease,,categorical,,,3.55,1069,Not in populated Cases API fields.
cns_disease,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,CNS disease,,categorical,,,4.08,466,Not in populated Cases API fields.
cns_disease,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,CNS disease,,categorical,,,0.0,449,Not in populated Cases API fields.
cns_disease,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,CNS disease,,categorical,,,2.07,627,Not in populated Cases API fields.
marrow_blasts,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Bone marrow leukemic blast percentage (%),CDE: percentage of blast cells among nucleated marrow cells.,numeric,percent,,10.11,89,
marrow_blasts,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Bone marrow leukemic blast percentage (%),CDE: percentage of blast cells among nucleated marrow cells.,numeric,percent,,7.58,1069,
marrow_blasts,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Bone marrow leukemic blast percentage (%),CDE: percentage of blast cells among nucleated marrow cells.,numeric,percent,,6.87,466,
marrow_blasts,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Bone marrow leukemic blast percentage (%),CDE: percentage of blast cells among nucleated marrow cells.,numeric,percent,,8.02,449,
marrow_blasts,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Bone marrow leukemic blast percentage (%),CDE: percentage of blast cells among nucleated marrow cells.,numeric,percent,,8.77,627,
peripheral_blasts,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Peripheral blasts (%),,numeric,percent,,3.37,89,
peripheral_blasts,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Peripheral blasts (%),,numeric,percent,,1.68,1069,
peripheral_blasts,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Peripheral blasts (%),,numeric,percent,,4.51,466,
peripheral_blasts,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Peripheral blasts (%),,numeric,percent,,0.89,449,
peripheral_blasts,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Peripheral blasts (%),,numeric,percent,,3.03,627,
cytogenetics_t821,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,t(8;21),CDE: presence of t(8;21) cytogenetic abnormality.,categorical,,Yes; No; Unknown,84.27,89,Lesion-specific indicator. Not collapsed into a composite karyotype.
cytogenetics_t821,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,t(8;21),CDE: presence of t(8;21) cytogenetic abnormality.,categorical,,Yes; No; Unknown,0.94,1069,Lesion-specific indicator. Not collapsed into a composite karyotype.
cytogenetics_t821,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,t(8;21),CDE: presence of t(8;21) cytogenetic abnormality.,categorical,,Yes; No; Unknown,10.09,466,Lesion-specific indicator. Not collapsed into a composite karyotype.
cytogenetics_t821,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,t(8;21),CDE: presence of t(8;21) cytogenetic abnormality.,categorical,,Yes; No; Unknown,5.12,449,Lesion-specific indicator. Not collapsed into a composite karyotype.
cytogenetics_t821,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,t(8;21),CDE: presence of t(8;21) cytogenetic abnormality.,categorical,,Yes; No; Unknown,5.74,627,Lesion-specific indicator. Not collapsed into a composite karyotype.
cytogenetics_inv16,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,inv(16),CDE: presence of inv(16) cytogenetic abnormality.,categorical,,Yes; No; Unknown,84.27,89,Lesion-specific indicator.
cytogenetics_inv16,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,inv(16),CDE: presence of inv(16) cytogenetic abnormality.,categorical,,Yes; No; Unknown,0.94,1069,Lesion-specific indicator.
cytogenetics_inv16,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,inv(16),CDE: presence of inv(16) cytogenetic abnormality.,categorical,,Yes; No; Unknown,10.09,466,Lesion-specific indicator.
cytogenetics_inv16,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,inv(16),CDE: presence of inv(16) cytogenetic abnormality.,categorical,,Yes; No; Unknown,5.12,449,Lesion-specific indicator.
cytogenetics_inv16,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,inv(16),CDE: presence of inv(16) cytogenetic abnormality.,categorical,,Yes; No; Unknown,5.58,627,Lesion-specific indicator.
cytogenetics_mll,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,MLL,,categorical,,,84.27,89,Lesion-specific indicator.
cytogenetics_mll,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,MLL,,categorical,,,0.94,1069,Lesion-specific indicator.
cytogenetics_mll,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,MLL,,categorical,,,10.09,466,Lesion-specific indicator.
cytogenetics_mll,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,MLL,,categorical,,,5.12,449,Lesion-specific indicator.
cytogenetics_mll,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,MLL,,categorical,,,5.58,627,Lesion-specific indicator.
cytogenetics_monosomy7,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,monosomy 7,,categorical,,,84.27,89,Lesion-specific indicator.
cytogenetics_monosomy7,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,monosomy 7,,categorical,,,0.94,1069,Lesion-specific indicator.
cytogenetics_monosomy7,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,monosomy 7,,categorical,,,10.09,466,Lesion-specific indicator.
cytogenetics_monosomy7,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,monosomy 7,,categorical,,,5.12,449,Lesion-specific indicator.
cytogenetics_monosomy7,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,monosomy 7,,categorical,,,5.58,627,Lesion-specific indicator.
primary_cytogenetic_code,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Primary Cytogenetic Code,,categorical,,,4.49,89,Summary cytogenetic code; not assumed equivalent to lesion flags.
primary_cytogenetic_code,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Primary Cytogenetic Code,,categorical,,,0.94,1069,Summary cytogenetic code; not assumed equivalent to lesion flags.
primary_cytogenetic_code,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Primary Cytogenetic Code,,categorical,,,10.09,466,Summary cytogenetic code; not assumed equivalent to lesion flags.
primary_cytogenetic_code,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Primary Cytogenetic Code,,categorical,,,2.0,449,Summary cytogenetic code; not assumed equivalent to lesion flags.
primary_cytogenetic_code,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Primary Cytogenetic Code,,categorical,,,5.58,627,Summary cytogenetic code; not assumed equivalent to lesion flags.
